,es,it,de,nl,fr,en
cal,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ali,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
lid,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ida,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
dad,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ad ,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
d y,-8.997889450200717,,,,,-9.107753783201082
 y ,-8.997889450200717,,,,-9.107864580386947,
y c,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
cap,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-9.107753783201082
apa,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
pac,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
aci,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
cid,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
d i,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 in,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
inc,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ncr,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
cre,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
reí,-8.997889450200717,,,,,
eíb,-8.997889450200717,,,,,
íbl,-8.997889450200717,,,,,
ble,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
les,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
es ,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
s q,-8.997889450200717,-8.837390855544697,-9.359708203627006,,-9.107864580386947,-9.107753783201082
 qu,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
que,-8.304742269640771,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ue ,-7.8992771615326065,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
e s,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 se,-7.8992771615326065,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-8.414606602641136
ser,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-8.414606602641136
erá,-8.997889450200717,,,,,
rá ,-8.997889450200717,,,,,
á e,-8.997889450200717,,,,,
 el,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
el ,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
l p,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 pl,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
pla,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
lac,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ace,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
cer,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-9.107753783201082
er ,-8.997889450200717,-8.837390855544697,-7.750270291192906,-9.034676602846295,-9.107864580386947,-9.107753783201082
r d,-8.997889450200717,-7.738778566876588,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
e t,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.009141494532972
 to,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
tod,-8.997889450200717,-8.837390855544697,,,-9.107864580386947,-9.107753783201082
odo,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
do ,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
o a,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 am,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
ama,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
man,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ant,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-9.107753783201082
nte,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
te ,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
e d,-7.611595089080826,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
e l,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 la,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
la ,-8.997889450200717,-8.144243674984754,-9.359708203627006,-8.34152942228635,-8.414717399827001,-9.107753783201082
a t,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 te,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
tec,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-9.107753783201082
ecn,-8.997889450200717,-8.837390855544697,,,,
cno,-8.997889450200717,-8.837390855544697,,,-9.107864580386947,
nol,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
olo,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
log,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ogí,-8.997889450200717,,,,,
gía,-8.997889450200717,,,,,
El ,-8.997889450200717,-8.837390855544697,,-9.034676602846295,,
l t,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 ta,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
tac,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
act,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
o e,-8.997889450200717,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 es,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
s h,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 ho,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
hor,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
orr,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
rri,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
rib,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ibl,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
le ,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
e e,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
l d,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ded,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
edo,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
o s,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
se ,-7.8992771615326065,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.009141494532972
 en,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
eng,-8.997889450200717,-8.837390855544697,-9.359708203627006,-8.34152942228635,-9.107864580386947,-9.107753783201082
nga,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
gan,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
anc,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
nch,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
cha,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ha ,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-8.414717399827001,-9.107753783201082
 cu,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
cua,-8.997889450200717,-8.837390855544697,,-9.034676602846295,,-9.107753783201082
uan,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
and,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
ndo,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
des,-7.8992771615326065,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
esl,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,,
sli,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
liz,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,,-9.107753783201082
iza,-8.997889450200717,,,,-9.107864580386947,-9.107753783201082
zas,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,
Cas,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
asc,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
sco,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
co ,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-7.721459422081191
o p,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 pa,-7.8992771615326065,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
par,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ara,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ra ,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-8.414606602641136
a d,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
dec,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
eco,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
cor,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
ora,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
rac,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ció,-8.997889450200717,,,,,
ión,-8.997889450200717,,,,,
ón ,-8.997889450200717,,,,,
n N,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 No,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
No ,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
o h,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
hom,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
omo,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
mol,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
oga,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,,-9.107753783201082
gad,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
ado,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
o y,-8.997889450200717,-8.837390855544697,,,,-9.107753783201082
y p,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-9.107753783201082
 po,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
poc,-8.997889450200717,-8.837390855544697,,,-9.107864580386947,-9.107753783201082
oco,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-8.414606602641136
o m,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 má,-8.997889450200717,,,,,
más,-8.997889450200717,,,,,
ás ,-8.997889450200717,,,,,
un ,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-9.107753783201082
n c,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.009252291718838,-9.107753783201082
cas,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
e j,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 ju,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
jug,-8.997889450200717,,,,-9.107864580386947,-9.107753783201082
ugu,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
gue,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
uet,-8.997889450200717,-8.837390855544697,-9.359708203627006,,-9.107864580386947,-9.107753783201082
ete,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 si,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-8.414606602641136
si ,-8.997889450200717,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,
i t,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
 ti,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
tie,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
ien,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ene,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
nes,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
s u,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
n a,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 ac,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
acc,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
cci,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
ide,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
den,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
ent,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-9.107753783201082
s m,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 me,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
mej,-8.997889450200717,,,,,
ejo,-8.997889450200717,,,,,
jor,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
or ,-8.304742269640771,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
r n,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
 no,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
no ,-8.304742269640771,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
o l,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 ll,-8.997889450200717,,,,,
lle,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
lev,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
eva,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
var,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ar ,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 na,-8.997889450200717,-8.837390855544697,-8.261095914958897,-9.034676602846295,-9.107864580386947,-9.107753783201082
nad,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ada,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
da ,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-8.414717399827001,-9.107753783201082
a e,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
en ,-8.997889450200717,-8.837390855544697,-7.9734138425071155,-8.34152942228635,-9.107864580386947,-9.107753783201082
n l,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
cab,-8.997889450200717,-8.837390855544697,,,-9.107864580386947,-9.107753783201082
abe,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
bez,-8.997889450200717,,-9.359708203627006,-9.034676602846295,-9.107864580386947,
eza,-8.997889450200717,,-9.359708203627006,-9.034676602846295,,
za ,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
a a,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 an,-8.997889450200717,-8.837390855544697,-8.261095914958897,-9.034676602846295,-8.414717399827001,-9.107753783201082
tes,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
r u,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
o c,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
 co,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
com,-8.997889450200717,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
mo ,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
est,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ste,-8.997889450200717,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
e A,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-8.414717399827001,-9.107753783201082
 Al,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
Al ,-8.997889450200717,-8.837390855544697,,-9.034676602846295,,
l i,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 ig,-8.997889450200717,-8.837390855544697,-9.359708203627006,,-9.107864580386947,-8.414606602641136
igu,-8.997889450200717,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
gua,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-9.107864580386947,-9.107753783201082
ual,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
al ,-8.997889450200717,-8.144243674984754,-9.359708203627006,-9.034676602846295,-8.414717399827001,-9.107753783201082
l q,-8.997889450200717,-8.837390855544697,,,-9.107864580386947,-9.107753783201082
las,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-9.107753783201082
as ,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.009141494532972
s g,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 ga,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
gaf,-8.997889450200717,,,-9.034676602846295,,
afa,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,
fas,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
 so,-8.997889450200717,-8.837390855544697,-7.9734138425071155,-9.034676602846295,-9.107864580386947,-9.107753783201082
son,-8.997889450200717,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
on ,-8.997889450200717,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
n d,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
e p,-8.997889450200717,-8.144243674984754,-9.359708203627006,-7.936064314178185,-9.107864580386947,-9.107753783201082
plá,-8.304742269640771,,,,,
lás,-8.304742269640771,,,,,
ást,-8.304742269640771,,,,,
sti,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
tic,-8.304742269640771,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
ico,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
o i,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
iny,-8.997889450200717,,,,-9.107864580386947,-9.107753783201082
nye,-8.997889450200717,,,,,
yec,-8.997889450200717,,-9.359708203627006,,,
ect,-7.8992771615326065,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
cta,-7.8992771615326065,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
tad,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
y d,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 pé,-8.997889450200717,,,,-9.107864580386947,
pés,-8.997889450200717,,,,-9.107864580386947,
ési,-8.997889450200717,,,,-9.107864580386947,
sim,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-9.107864580386947,-8.009141494532972
ima,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
